x,y
38.7914,16.8163
42.6848,34.5745
27.7254,30.4427
39.3033,24.3613
32.2419,24.6546
40.0264,20.8546
39.6516,27.7874
36.3451,21.7646
41.7494,20.9702
34.9061,21.9148
31.883,30.663
36.1267,24.1185
41.6501,30.4935
34.3366,15.69
33.8459,25.1334
49.0638,32.0172
41.4018,20.1498
44.7868,21.2513
49.7527,32.0741
47.4975,24.3693
40.027,30.0583
31.1089,29.5664
36.2427,31.8717
40.794,25.3936
37.0852,23.543
42.996,27.8382
39.9074,19.0237
24.4191,31.4859
37.9382,29.4748
38.5048,23.5686
36.9338,25.154
46.7157,16.2572
33.1695,24.9955
39.036,21.2935
38.3941,20.2989
41.9978,13.6339
36.2498,23.1898
37.1389,28.9184
35.821,21.9817
47.9598,27.5477
35.423,15.0324
40.7575,28.6668
44.4006,25.6101
34.9176,17.7356
49.1059,18.8694
33.1729,29.9464
33.0211,22.7456
49.2835,19.2545
40.1515,23.9395
40.8619,22.7994
37.0729,20.0042
34.6829,25.3787
28.1795,24.9085
38.8722,29.8499
31.4925,31.5087
34.9288,24.314
35.8899,22.9785
44.5488,31.4217
43.0791,23.0169
40.4404,18.1261
43.509,20.9743
28.5611,15.9953
38.3606,25.7861
47.2578,24.6832
35.7384,30.0321
40.5991,27.3085
35.9518,31.967
33.7223,31.5292
43.1444,27.0904
42.7026,26.9152
40.6699,30.0393
49.8552,30.4278
31.328,27.4317
37.0153,30.011
38.78,29.2469
40.9602,28.3215
40.7919,21.0203
32.8542,17.3587
35.7085,21.5576
36.047,28.3231
33.3036,17.6031
33.726,21.6168
47.1136,19.4143
36.292,14.1841
30.7057,29.1063
37.8391,37.7126
41.3567,33.7735
27.0216,25.2214
23.1986,21.2785
47.8524,27.2969
33.6073,24.067
41.0228,23.5203
42.8911,27.1094
41.1075,26.034
42.4119,25.95
30.6908,21.4279
43.1879,33.4507
38.2024,27.9954
29.9753,18.3824
37.1341,28.684
48.4384,31.3718
41.9948,31.4048
31.8297,26.1365
33.6716,20.4774
36.8207,24.2257
38.5807,21.114
30.0552,18.9482
39.936,32.571
50.9766,32.7481
36.4602,22.196
33.6003,26.9298
43.2507,23.194
43.6585,20.8987
43.0034,25.3835
45.6512,27.4084
35.7717,32.5529
40.9461,14.2987
37.3802,33.1475
42.7979,24.1185
46.9937,34.3816
39.888,19.4758
39.7471,20.8334
50.4246,25.7906
46.2326,23.1523
36.1997,32.5101
38.064,25.5228
40.1574,17.9619
38.5907,25.0826
42.9378,15.6154
43.1643,23.607
44.6675,31.4549
45.7234,30.7134
51.1661,25.8114
38.1916,29.3754
40.6709,27.4659
36.8506,21.3616
43.7196,21.6559
34.3351,35.0675
37.664,27.7377
31.4212,26.0339
27.1935,27.4362
37.4031,30.7809
47.2968,31.691
39.3042,27.185
39.642,31.357
31.1171,28.5875
44.1174,29.7902
33.0178,25.5854
39.8838,25.3781
38.5883,13.7577
41.7935,24.764
44.6903,21.1039
38.5773,36.293
44.3568,19.5167
29.538,22.6576
41.1278,14.6685
25.9539,18.4378
37.6166,31.0398
33.0834,16.1129
44.7662,11.4079
35.6464,32.057
37.0895,20.2692
35.0548,26.3803
40.7492,22.083
32.48,24.1408
38.4122,27.8249
