x,y
38.599,15.8475
42.5669,34.1345
27.6442,31.0463
39.8997,23.8591
32.5863,24.482
39.7494,21.3826
39.9111,28.3969
35.7037,23.2707
40.9937,21.1526
35.3638,21.2145
32.0897,31.9749
36.1419,24.9379
40.9122,31.9306
35.0506,16.1814
33.849,25.9866
49.1716,32.4694
42.7699,20.4697
46.1635,21.5224
49.8623,31.7033
48.9961,25.2243
40.7619,30.0446
31.6224,30.6957
36.6751,31.5359
40.0034,26.2702
36.482,23.4279
44.1824,27.5366
39.811,17.3298
25.6892,30.4684
38.8934,30.5077
39.9777,22.7881
38.8659,25.2115
47.0347,16.9069
33.8992,24.9509
39.0006,22.3006
38.7575,20.0784
41.4818,12.8758
35.6393,22.5812
36.5492,29.7843
36.3136,22.1839
47.7503,27.4134
36.265,14.4381
41.6327,28.4032
45.9932,25.8623
33.8273,18.7451
50.5182,18.8028
33.1092,29.1989
34.6624,24.2293
48.9299,20.3043
40.8678,23.1454
41.4765,22.9319
35.9697,18.2332
35.6713,25.363
28.4655,26.6501
38.7065,29.0135
31.6301,31.7653
33.3668,24.5161
36.8318,24.2607
44.8619,30.8511
43.0755,21.9615
41.8492,18.578
43.4118,21.0678
28.8661,17.3724
39.3679,24.7752
47.1557,24.463
34.7077,29.9635
38.814,27.0064
35.7842,31.8105
35.6448,31.331
44.2652,26.5702
44.0417,26.1946
41.2018,30.2836
50.1446,30.9331
31.9296,26.898
37.679,29.2522
39.6037,29.1793
41.8789,29.4544
40.6869,20.8048
33.1614,17.0902
35.1185,21.7404
36.3484,28.1558
33.9585,17.4498
33.1187,21.1316
48.0706,18.4161
37.3772,14.6436
32.3208,28.0422
38.2653,37.0767
42.0757,34.733
27.4706,25.892
22.7349,21.08
47.6322,26.4074
33.3804,24.2767
41.4503,23.8982
43.0728,29.0467
40.5606,25.1116
43.3317,26.4632
30.3215,21.1047
44.6824,34.2037
39.1908,28.1748
29.7122,18.9204
37.0917,28.4394
47.0341,31.9028
41.6427,31.6085
