x,y
86.0289,21.567
90.8283,59.9517
73.4147,40.3756
73.1245,32.1892
78.1225,36.0118
91.2758,33.9216
75.9568,25.806
81.5597,40.7355
90.8934,44.8561
80.8511,38.8581
82.1566,41.7655
85.6832,40.3432
85.6678,29.3724
90.6964,26.8807
81.0289,40.2752
99.0468,49.6667
84.5787,17.8524
79.2663,42.9142
97.7962,43.4991
73.8158,47.8456
93.6834,38.6515
68.1339,46.0991
91.0016,38.7427
95.3855,44.8973
80.534,46.3582
91.008,30.4366
75.4398,18.2761
66.9672,43.0897
76.0808,20.7244
71.6083,40.9425
81.6993,45.4208
96.0005,36.1688
66.6694,42.9823
91.0165,31.4382
80.5471,43.3806
81.5767,17.0313
76.0051,44.5547
79.3232,36.7092
80.4507,30.5565
95.1551,32.6169
86.5319,29.2344
89.521,39.0697
93.4011,36.6637
75.3435,36.0967
99.6031,39.8979
81.7807,23.6842
91.375,35.526
100,33.5887
85.1582,26.2815
82.4919,36.5748
78.7521,34.747
76.6288,48.3029
92.2009,43.1433
94.1486,37.5913
64.4969,50.2294
84.1948,41.1038
87.6164,50.8545
100,44.4805
87.7114,19.4077
82.0553,45.827
85.624,38.1364
64.1832,29.787
99.7053,42.4105
90.4238,43.4111
89.6327,45.7991
77.4082,38.5931
97.0854,44.8519
85.5452,50.6097
91.6314,41.2341
85.4102,30.6541
87.2506,41.1001
91.4117,43.5312
72.3093,42.4418
93.5751,51.8953
99.5223,39.3095
80.6766,50.6458
71.2542,21.4706
76.6464,14.4775
77.768,22.5935
78.23,31.078
82.61,23.9524
70.3,42.9526
99.6034,39.4554
97.4013,48.086
74.0934,36.7209
84.4012,38.9912
79.3904,65.0065
64.4229,38.2192
95.2882,22.7892
95.4936,41.8493
82.2517,38.8325
78.9588,45.0894
82.787,46.7136
84.3782,38.1667
85.4803,33.9355
72.3296,36.9264
80.9562,47.6331
99.9788,45.8093
76.5848,41.0885
83.5185,33.5541
95.3667,55.9965
89.2904,46.252
77.9657,39.3895
77.8082,44.9933
80.3159,34.27
84.7548,29.4479
81.9225,17.2411
