x,y
89.8891,18.0715
97.0277,59.1842
75.0364,43.6597
79.4413,31.6236
79.7238,29.313
90.404,38.5679
83.4333,26.706
86.8043,41.2331
93.4779,42.8497
83.8837,36.8589
86.084,41.394
87.73,41.5879
91.6283,28.5261
93.3046,29.5063
80.6289,42.8589
98.8928,50.8685
87.6626,24.5248
88.5089,43.1376
100,43.1044
75.0533,49.9322
97.8636,34.9827
68.5635,47.4035
93.9498,34.0091
98.242,44.0526
87.2739,44.2242
93.5989,30.8476
79.639,21.5827
71.157,43.5866
78.8117,20.0048
77.3059,39.9521
82.6223,43.5845
99.9077,35.5531
72.5698,43.8952
99.7062,28.7872
86.5042,42.7322
80.5078,18.5614
75.8908,46.2059
83.6442,41.2203
79.6942,35.2758
98.9078,34.567
91.7487,31.3063
92.2324,39.9972
98.5647,29.748
77.598,34.4271
99.7972,41.4371
85.9407,25.5346
96.7974,35.2406
100,33.1732
92.5296,27.0947
83.3694,35.5205
89.2934,38.3537
79.0663,45.9691
92.9305,41.8778
97.6674,41.2232
69.56,51.5385
90.0195,36.8728
92.9867,51.0365
100,44.428
92.0275,16.5174
85.6762,45.6912
90.2281,37.0017
66.2273,34.1443
100,39.965
93.426,49.3111
93.8172,49.7204
79.9327,41.2966
100,46.2576
90.7649,48.0367
99.7931,45.9203
88.8565,31.6519
88.3936,41.6399
93.8651,45.1658
76.1508,45.9632
98.1525,55.8686
99.6698,38.0766
88.2851,53.4348
74.9828,16.8977
81.6191,17.8419
84.3167,23.3867
81.0873,30.9057
87.8251,25.2455
76.2043,42.6297
100,40.4063
97.1023,46.9698
81.9677,34.6198
89.6076,43.1974
80.6645,63.0922
71.2458,32.9916
96.253,26.8481
100,43.8598
86.8701,34.6769
84.8329,45.9236
84.8101,46.2149
90.7655,38.1234
87.9008,30.9211
77.5458,34.0391
85.866,50.646
100,48.1891
78.5611,42.0378
90.5304,34.4916
99.2163,55.7311
94.067,50.7183
83.4037,39.0331
84.1569,48.9459
82.7117,33.3464
89.1914,31.5173
86.4096,17.7093
83.5896,35.9111
99.177,23.9594
85.3924,38.9996
90.9379,53.8035
99.0289,24.9243
86.0089,28.4299
90.7524,36.5169
90.7443,36.4307
83.4258,50.027
82.3988,9.5938
68.3386,73.1924
98.9746,15.1063
91.3966,40.7827
94.2745,35.3043
87.4159,48.2304
100,42.7496
99.1267,32.395
85.3479,43.6404
86.172,40.5082
94.3405,16.6682
93.0221,49.778
96.581,14.8876
80.0161,29.6423
99.2572,46.0387
99.2084,41.8799
99.2589,38.0915
88.4805,50.9791
87.3167,21.4068
87.5061,44.4882
98.4284,41.2433
91.5476,40.4798
93.9334,48.8514
95.2016,41.9715
75.8415,32.2409
87.4453,30.7708
97.3708,52.2767
91.6656,38.0833
89.4565,47.5932
87.6909,49.75
80.3067,47.0744
88.8642,42.4738
85.8416,40.6476
75.4116,35.6206
85.0415,25.6728
96.193,40.9632
75.0946,55.1403
92.9304,23.1831
81.098,57.8537
88.6625,22.4791
77.5955,33.6684
93.3497,49.0305
97.9344,29.5646
98.1264,37.8999
88.441,62.396
81.8852,50.5112
91.6925,30.11
96.3043,35.3646
80.1516,47.8634
99.4119,39.9596
83.3715,29.8245
95.9036,44.9517
81.6129,30.8023
79.5228,52.5422
99.0812,23.6929
99.0021,46.6384
83.4453,43.9102
99.4079,13.7273
97.3857,41.5891
98.3855,43.7637
99.2937,25.7459
82.107,40.8623
79.9438,42.057
69.1182,22.9812
79.6921,58.3623
99.8572,43.2635
82.1584,45.7451
83.4857,36.4345
96.566,36.9093
85.8481,25.2735
84.589,36.5313
73.5449,44.5018
99.4507,35.9207
83.8017,42.8485
83.56,20.4616
92.7858,28.7543
90.9652,44.0897
98.4317,33.7947
85.8977,59.3601
97.2953,51.5928
83.5433,50.6593
94.1862,56.5644
88.139,47.3402
85.0722,30.7937
93.7551,42.7542
85.1342,44.8758
78.4407,36.9055
74.6312,26.3568
93.8311,11.3737
91.9217,50.7905
94.8557,15.9797
100,27.9446
96.158,26.173
98.2695,42.1233
94.8386,47.4996
79.3541,22.8163
92.8494,30.3376
99.2876,29.924
100,39.8161
94.2152,55.3081
92.2522,8.51142
91.9843,33.416
96.9632,39.1977
92.6119,34.9642
83.3961,38.925
82.8054,47.3712
91.9979,13.4314
98.96,47.268
88.54,13.7208
97.6892,23.9807
80.7009,28.3253
86.5217,40.3406
92.1309,31.7322
87.4727,37.6974
78.9117,22.8963
73.8637,25.522
60.2617,28.936
82.5721,38.4608
96.4299,48.7195
89.3383,22.3641
94.3039,48.5068
92.9252,37.1855
96.2647,49.3871
72.8092,44.2129
88.2074,28.766
79.9793,46.0709
76.1268,49.2612
81.4614,32.7404
99.628,48.2548
98.8817,39.7638
95.8759,39.397
84.819,45.2495
99.8727,35.4062
90.5204,44.1982
88.2781,40.9306
90.7378,47.7858
100,35.1741
85.4864,37.7213
84.2296,36.692
94.7314,18.5311
91.8487,24.935
98.8707,36.7145
82.9742,35.9421
83.7818,40.0482
87.128,41.7802
83.3523,36.2973
91.0376,36.7774
99.6943,31.9285
96.9477,40.5396
85.4853,45.2362
99.2301,5.86593
82.2363,46.0248
85.5382,49.769
75.9472,36.9867
74.6922,39.1229
82.6806,16.005
79.6363,42.9877
96.3104,58.2576
80.97,27.4291
100,60.2566
80.3602,47.3244
89.5298,40.4359
97.1499,45.8368
87.3638,45.5965
