x,y
37.1251,16.6996
40.0399,36.4008
26.066,25.271
37.6642,23.4546
29.669,23.8287
38.3235,21.8063
36.8065,27.9567
29.6685,23.4216
37.8413,22.1281
32.2192,18.915
30.5458,26.7199
29.5063,26.6126
39.7687,29.3844
34.204,16.6574
30.407,23.4355
44.0732,29.5404
34.6148,20.6048
44.9805,20.1627
41.0452,27.5305
44.6856,24.4766
38.3429,27.7035
29.042,25.8048
34.5567,35.7226
37.7974,22.3174
34.6107,22.6078
38.2121,26.6997
35.4456,18.3846
22.0165,30.3612
37.1188,29.9453
36.6772,20.2826
30.8955,22.4091
40.3868,18.954
31.6876,21.1055
37.1021,17.4212
38.1412,21.1893
36.8174,13.7293
33.9026,27.2531
32.6057,27.539
34.2398,18.1524
44.6835,25.4279
31.5628,16.329
38.6282,28.5121
36.9516,27.3911
32.188,17.0735
43.1695,19.1595
32.529,26.5338
31.0966,22.2296
47.0073,19.8986
36.9733,25.7901
36.8504,24.1345
34.0618,20.6526
29.9312,24.4179
26.5237,22.2349
35.373,27.5406
29.7069,28.6537
32.4157,23.4365
31.8531,21.0369
38.0927,30.9426
37.7676,20.8786
36.3771,16.1251
37.6538,20.6288
25.7059,13.2277
37.0165,27.1374
42.4835,23.2824
30.4544,31.5199
35.2876,23.9959
36.3889,32.8167
29.7696,31.3743
38.0581,25.1892
38.4209,28.2811
40.8387,29.8344
42.6923,28.532
30.1977,27.565
33.1214,28.041
36.8358,25.3974
37.2839,25.1777
38.398,19.8644
32.3576,16.0459
31.0014,19.8441
35.608,25.7128
33.9641,16.5733
32.4503,25.3894
41.8956,18.9773
35.5083,15.7893
29.5246,28.4523
36.471,31.7577
34.6949,33.7252
26.3353,22.8847
24.0438,21.5206
43.8856,22.7579
29.2701,25.6625
37.7422,25.4125
36.1161,23.9187
37.6926,26.3649
40.2815,25.5623
31.4442,22.9606
39.1091,31.8698
36.9434,27.5629
27.243,20.4615
33.9882,27.5481
45.4988,26.9046
40.9841,29.1353
30.1832,28.9672
30.8766,22.1829
35.1288,24.4853
34.4407,20.3102
28.0438,20.7941
35.4873,31.6979
47.4408,31.248
35.0761,21.801
37.5678,25.2206
39.9755,25.3424
40.2227,23.5495
38.9011,24.9616
40.5276,23.9601
32.451,32.168
38.1905,15.497
38.0186,30.2295
37.7408,22.77
40.7458,32.4199
35.9563,18.895
34.9076,20.859
46.7463,21.7395
40.9254,20.7941
29.3471,29.4832
33.4981,23.5243
39.6442,18.1103
33.0096,22.2664
40.4558,16.6102
40.154,20.3462
42.6386,28.4847
37.8178,28.9285
47.5601,27.1456
34.3635,29.6032
33.5804,27.8445
35.0412,22.726
39.3065,18.9269
29.3961,32.6429
37.8917,24.7974
29.7254,25.0704
27.608,24.023
34.591,31.6205
42.4237,28.8386
38.0848,23.6214
37.7617,32.7048
29.5712,27.658
37.0185,30.8577
29.1854,21.4759
36.8602,23.6437
33.4036,16.1242
36.0176,22.4587
43.9068,24.75
33.888,33.9227
39.2568,17.7266
27.1321,21.9704
34.213,15.556
25.2947,19.435
34.65,27.0367
32.2884,16.8867
42.5202,14.5415
30.9726,29.9622
35.6385,21.9291
32.2746,30.7357
35.2602,23.5345
27.9433,24.6749
35.633,24.1953
29.2321,24.3427
32.0286,23.8127
36.0499,22.5781
36.2186,23.1069
42.1765,18.1674
36.4043,24.9089
37.8963,20.3434
35.4616,11.2104
32.3403,24.2621
37.8406,20.4926
39.4353,25.2988
33.9083,24.8459
36.4513,18.5751
27.4061,19.997
40.8085,36.6181
35.6968,36.39
28.8695,27.5641
31.4643,18.6054
40.3678,19.8832
38.2755,27.6527
37.355,13.0243
33.3699,30.1683
45.2361,25.7883
37.3972,28.9129
40.817,15.6423
33.0774,24.8474
28.2958,19.9708
40.0885,23.3986
38.896,38.4461
47.5853,21.5624
31.0506,30.4275
35.7726,27.7542
35.9412,29.5527
36.3439,23.9213
34.0544,25.0437
42.916,18.1899
39.1668,19.792
33.4465,26.2755
30.7975,17.7793
36.3446,28.4712
43.9074,21.0715
38.2463,19.9342
39.6717,26.5796
36.9843,18.0025
42.4025,23.3594
40.5619,25.7163
34.5604,23.0507
38.4412,18.0334
41.1522,20.0524
43.611,25.8736
31.1443,12.7988
37.1187,24.7889
37.5057,23.3776
40.3509,17.5565
34.2737,19.8661
38.0687,34.5464
39.7177,15.8183
36.261,26.9984
30.2284,14.9267
34.3987,19.0468
32.6356,24.8304
35.6283,24.0358
38.4947,24.023
39.8903,16.8696
27.1445,19.544
32.1639,21.0071
29.4233,24.9041
36.4392,20.521
29.3681,31.8708
40.5594,22.7398
33.1301,32.0565
40.3805,23.8758
31.9317,22.3749
28.8597,21.2357
37.5832,14.8686
26.7678,25.2093
34.8536,25.7933
29.3049,19.8572
45.4342,23.4228
41.5323,16.6396
31.6267,26.6743
36.4049,21.8178
37.7146,21.2582
29.7345,23.3257
39.4233,26.778
32.4665,23.5014
33.6319,23.2798
31.7685,24.2985
33.9546,12.2026
47.4007,24.3244
38.739,34.1937
47.4568,26.8765
30.5282,30.2862
35.7405,23.1481
34.6461,24.8803
32.3693,21.9274
40.74,30.4937
37.7704,26.3944
32.0814,25.1802
35.0692,27.891
40.2941,22.6442
39.3374,33.63
43.6189,32.1879
31.5065,30.2175
27.1473,27.1799
35.779,19.1516
33.8874,38.1349
47.2513,25.6013
41.2312,15.0537
45.7814,37.9898
34.8948,23.7513
34.4246,21.4659
41.745,23.3721
31.4969,27.7238
44.7962,25.7826
36.4525,27.957
36.2058,23.6331
40.2357,25.3876
36.0868,24.6845
38.7877,22.5387
30.8498,29.4689
41.4274,16.1437
29.6009,28.016
22.9237,21.0421
31.6721,34.0328
37.6923,24.2825
38.6072,35.3597
42.7471,16.2809
37.1987,20.3088
47.4885,20.0212
25.4278,17.8766
31.2951,21.6183
35.1069,16.0051
26.6592,21.9902
32.5673,22.7919
36.2186,29.7622
36.495,26.163
31.5529,30.1413
43.3731,27.6093
35.7622,21.8787
39.2809,33.8804
26.8149,35.4285
33.9125,24.5538
31.7229,21.3252
38.5675,24.6658
23.3845,21.293
38.578,28.6748
29.6671,27.7087
42.0186,27.7488
36.549,27.2339
37.5697,27.6137
40.9647,17.5967
37.1178,24.8407
31.8139,23.0751
29.5319,18.7513
36.2108,29.2452
27.5288,21.0161
43.6004,21.659
38.3859,29.3271
37.1014,25.3211
38.4513,30.2429
36.6759,26.9445
35.7098,18.5448
42.905,21.9766
38.0695,12.5166
27.045,19.6345
36.1792,31.5555
40.8692,22.1057
37.5416,32.5881
36.7973,19.6702
48.675,30.1401
36.7924,31.6708
29.3788,18.5891
33.5103,28.9001
40.9604,26.3157
38.1605,13.8159
26.5722,31.0844
38.7424,24.1498
35.4114,17.5057
39.5839,23.7901
35.8404,19.747
42.1263,29.0381
48.3091,25.6517
26.7893,32.0168
34.3718,23.721
24.0385,11.4582
34.0804,19.3192
29.6585,22.5681
25.9423,20.2813
31.8889,27.5899
35.9652,26.8176
36.1209,24.2237
36.6597,22.7068
29.6289,28.7768
40.4245,22.6829
31.0416,25.8554
43.1605,24.1714
32.9003,28.1469
45.093,27.9643
40.252,24.9022
34.1694,25.1606
38.1016,19.3721
32.631,18.4621
38.5369,14.858
37.856,27.5194
32.9606,21.981
36.8849,18.2674
33.4835,19.2891
35.9283,30.2971
38.2121,21.468
33.0936,26.0135
34.0309,15.1888
30.9281,25.3624
38.1041,31.285
31.9644,31.5341
29.9577,35.9315
41.5791,23.1279
42.309,18.7
37.3865,27.5478
38.7016,25.0897
30.2319,28.4229
43.3814,22.9702
28.0016,25.2049
35.3304,31.5217
35.4429,24.4299
32.3485,32.535
26.0831,23.1559
36.3633,21.7199
36.1778,20.901
40.0091,33.4423
31.6745,19.2223
30.7963,31.1851
37.6233,25.2079
36.4053,22.9235
43.645,28.5645
31.7098,18.0711
30.49,28.2409
31.8873,32.1782
37.6513,26.2025
34.6721,19.7504
30.444,13.9201
41.0889,18.2042
38.2381,23.1061
37.9999,13.7763
29.8903,25.621
41.5584,23.6899
37.3991,24.3172
33.6612,24.1921
38.946,31.2134
33.8253,34.8499
35.9684,21.2569
36.246,27.8181
49.7204,21.168
38.5887,25.5173
34.5922,38.7542
37.5887,22.7962
31.4504,16.0972
37.634,24.7336
33.8354,35.1807
39.5432,21.0987
32.1542,16.4252
34.1786,27.3963
37.7359,25.8521
40.4539,21.9082
34.7685,16.351
33.4606,23.9503
37.1441,23.9798
31.551,20.5531
46.0008,24.1124
33.6684,25.2185
36.9751,19.0384
32.0529,25.5589
34.4946,30.2178
33.9585,20.3941
35.1206,17.9111
31.8472,31.7059
41.0167,33.8731
33.8201,23.5052
36.1911,17.6046
39.6554,20.379
38.4036,21.9359
32.2378,22.4335
42.1966,21.4613
34.6122,14.8895
36.7553,14.6675
31.2148,33.5427
34.9529,21.8439
33.3015,28.7382
36.5842,20.362
42.8666,16.9612
29.0004,21.7256
34.295,32.0585
47.3401,26.8854
31.1701,17.9478
31.0557,26.3756
32.6795,12.9779
41.0829,21.1368
34.0973,28.906
34.4069,19.5088
32.3559,21.1036
30.3053,27.5
34.651,23.5731
32.4358,19.1999
38.5631,21.7957
39.8317,26.16
34.8142,31.9859
37.9714,24.377
36.0613,18.2385
35.9272,30.9424
45.2742,16.1808
35.6776,25.9521
33.6751,22.7378
33.7428,16.3913
27.7397,19.668
25.1812,28.8385
31.1553,28.1454
36.1709,20.3616
34.9026,24.5991
39.7063,28.645
33.3933,19.9497
30.925,18.3775
36.6056,26.8113
38.1965,13.6467
30.7707,21.2683
38.105,27.939
36.5798,25.2327
40.9864,20.7608
37.6772,15.6337
27.2752,24.3331
32.1108,22.9949
32.8584,29.8748
33.1426,25.4282
33.7896,20.0388
35.2924,33.8058
39.2398,20.5456
33.9036,21.7053
33.6652,19.0119
23.5392,24.0808
38.9608,25.102
35.0486,26.7137
39.0311,22.1654
45.4178,20.5669
34.6511,16.8776
39.6885,21.9846
32.1245,23.2537
30.5108,16.6434
28.4008,36.6962
36.4672,24.8186
33.5905,23.3463
32.6289,28.1202
32.8395,30.9819
32.6542,24.4665
43.8161,14.4056
38.006,23.6965
40.2317,28.0104
47.7261,24.71
30.6762,31.5968
33.3303,23.97
34.3421,27.6976
32.2683,29.9409
37.1739,29.3217
37.6871,27.3816
32.7841,22.1822
41.2319,25.4498
39.8836,28.5709
37.9622,29.3293
45.8722,20.2427
37.8455,21.9715
36.6316,33.2846
38.1764,30.3143
36.3162,21.1001
26.0497,26.6682
33.7331,20.4318
37.9657,32.1003
32.2742,21.1551
34.6955,18.6891
41.3192,19.6674
32.8489,24.2275
38.4902,23.1147
36.578,30.4348
28.2492,23.32
30.0347,25.5325
36.0605,10.542
36.78,19.4759
33.9739,22.6664
32.0638,34.7468
30.3013,18.7557
36.9369,19.9199
26.9343,24.6935
41.1506,22.2099
31.8063,22.8208
36.9136,27.7582
38.5627,23.9911
35.5502,22.0719
20.7352,22.9707
32.0639,22.1978
32.2611,28.7861
29.751,18.9909
36.9025,25.0044
36.6417,14.6011
44.3583,16.226
31.7364,20.723
35.2163,28.2393
39.8638,14.7444
40.2477,21.9848
42.0359,21.768
36.3777,18.8877
31.8648,23.3879
40.2876,22.0272
36.9558,32.029
43.2073,22.4492
32.0022,22.6724
32.1152,30.0857
35.3125,22.2517
33.8377,31.7354
32.5387,24.4998
32.2497,31.0703
34.8254,24.8549
41.3291,27.4202
30.5464,21.8019
32.3954,30.1361
34.1007,20.0588
37.1432,26.3568
33.0057,18.8786
35.5876,22.5134
31.4888,25.3581
29.3788,17.2225
31.4891,25.9144
41.0014,25.3842
26.5313,16.3636
44.2173,27.2335
41.2737,38.1767
44.5194,26.346
33.8428,17.7539
38.8063,33.4459
35.8911,26.7081
36.1444,22.2004
33.7652,19.7299
29.2899,28.0189
41.8983,19.7969
28.7778,20.0875
37.8168,26.7462
41.4541,20.1801
31.6726,24.3889
39.0214,32.5807
37.8934,31.3661
31.3601,27.7241
34.5154,20.2723
37.766,25.3462
33.9577,21.5594
35.3453,26.412
40.7979,26.1617
36.6519,21.5853
29.9954,22.4935
40.0118,36.2576
32.1136,27.5002
38.4597,22.503
41.779,22.7405
36.0214,22.716
23.4885,20.9579
33.9602,29.749
27.0148,29.3878
36.0328,27.0217
34.7441,27.0234
33.5742,26.6427
44.2182,17.9068
24.6453,33.8503
32.486,21.1488
33.8361,22.1186
37.4541,26.1229
39.0714,18.8933
38.5977,32.2984
31.8616,23.3669
33.9926,22.3653
33.0549,20.0008
29.2559,40.2257
38.7393,28.0091
34.6068,24.2746
28.6836,24.9585
37.871,31.893
44.8979,14.2605
37.8939,22.5895
35.7024,21.2867
42.0189,16.0854
26.1359,29.6481
25.8853,29.4156
43.3971,22.6423
38.7072,15.7534
42.013,16.1991
41.1568,26.6045
34.2952,29.1176
35.4632,32.2431
28.6662,24.6968
34.9338,22.1247
39.6795,25.4214
33.1009,25.5107
34.8018,24.1501
41.9866,26.3866
36.5044,20.5378
35.8125,19.2195
37.7518,29.115
35.5429,20.9727
36.9743,24.7287
35.7679,26.3946
36.8401,30.6913
34.2154,27.5879
40.0531,30.7981
38.041,27.451
39.4067,30.4612
34.9422,28.1562
41.3455,19.4842
33.215,22.7654
32.7349,30.2308
26.8734,32.2882
