x,y
53.718,18.2238
54.2342,44.1342
43.2604,33.1001
50.2179,20.6168
44.8784,26.0238
52.8353,22.2165
50.8315,30.6538
53.5111,28.5716
55.0442,28.9377
44.7603,24.0822
47.056,39.628
47.111,24.284
48.8218,40.1631
49.0084,17.8536
49.2323,22.6957
62.3156,38.8045
49.9119,21.1479
56.0755,27.1435
60.2406,31.1155
56.8519,30.3084
61.2875,29.3917
41.0132,44.5486
54.5155,33.2761
59.2277,30.028
53.3312,30.2821
62.3625,30.7166
48.8725,17.9055
36.8957,32.1469
57.2578,36.2813
50.2767,26.0308
55.8112,24.0044
62.8647,14.5811
45.0706,28.7441
55.0029,28.0453
51.3526,27.1432
59.499,14.1427
41.702,28.2196
50.8218,34.1168
50.7464,22.1932
65.5969,27.5254
47.0527,22.0557
53.5557,33.8119
64.424,29.4894
49.2726,16.9219
69.5145,27.5807
48.7064,23.1277
52.004,24.4909
67.1418,26.3854
56.3892,19.8667
51.2583,33.897
53.2508,20.3471
48.604,32.7891
40.5162,42.8131
56.6658,29.9497
39.7058,41.3998
44.0062,30.9374
52.1026,40.5827
59.2065,36.8599
51.3262,25.001
60.139,24.2915
62.1849,28.5551
30.3077,19.1834
57.441,24.6478
60.0435,30.9563
53.262,31.8747
52.9608,29.9448
54.4679,36.4332
48.4132,35.9361
57.3825,22.5185
54.8364,33.4251
49.9345,30.3633
63.4163,33.4412
48.4969,29.5609
54.9079,39.7524
56.7171,34.6307
56.7367,36.6042
50.1512,21.8578
46.3333,15.1085
47.3345,17.6522
52.9524,32.9969
54.6572,23.3958
46.3785,17.8189
66.715,26.9288
59.8016,28.8729
47.7019,26.1453
54.9916,35.108
46.536,42.6991
41.7213,33.6213
42.5983,19.783
59.8991,35.3918
42.7548,19.7889
52.6472,27.8979
51.5243,30.261
49.2568,30.8085
61.8638,29.4894
50.723,31.5802
56.832,33.629
63.1271,33.3725
44.9115,26.0102
52.6769,26.8429
67.2347,33.2205
56.4502,38.1545
44.759,30.1367
47.9998,33.6828
53.8876,30.1145
57.1036,28.5526
53.297,24.712
55.7964,33.6604
63.2257,30.1318
52.8433,31.0113
52.4701,40.8807
64.6447,20.2939
54.4481,27.6564
49.6445,25.8086
55.0166,28.1427
50.3704,33.1031
57.9093,12.9148
49.6109,44.2546
64.2325,20.6833
61.5214,35.3613
57.021,25.9506
50.6277,27.7025
68.8715,26.3314
60.5713,15.1678
46.6387,37.4698
49.5278,30.6868
55.7531,12.973
53.5289,30.1907
59.4056,16.6599
53.4287,29.3985
62.0068,38.875
61.026,36.6861
62.4659,33.0886
56.2266,34.8849
53.2492,29.1538
50.1068,29.3325
62.8268,28.049
48.3884,36.4907
53.1887,33.4074
56.1406,28.7788
40.8615,28.1863
56.9134,33.1731
61.9657,31.0525
57.7933,26.7621
51.3686,32.9828
44.4442,37.5723
59.3764,35.4693
49.7186,26.5036
47.4024,28.1961
45.8101,24.4457
61.5063,17.2421
57.4607,23.2653
49.3846,35.1733
58.8471,26.2923
43.6936,30.427
52.9707,19.2913
50.2545,23.7525
49.2539,29.2975
54.0817,26.7887
63.4563,20.5527
52.7484,39.454
48.3371,24.5228
45.9356,28.2469
67.425,26.5065
43.7126,24.3429
59.0251,32.3669
42.546,36.0935
56.9954,26.373
56.2774,26.2788
56.0834,40.0944
60.8483,24.456
52.8302,33.2499
52.5,25.3162
59.9162,2.48937
48.0966,36.6895
57.4011,32.0524
57.1616,26.9302
49.3988,32.8037
59.1189,21.9485
36.6502,15.6062
59.114,44.7286
59.658,28.2902
47.4318,27.838
52.0615,25.554
66.3879,25.3994
50.1878,32.3827
56.2579,24.1093
47.2525,39.1948
69.5455,28.6646
47.9727,30.0544
55.9498,12.8765
51.5248,22.6087
47.9426,34.7194
63.2453,32.0335
57.6534,45.2699
78.4282,33.7437
57.0012,38.978
58.5296,38.8752
42.0744,38.7554
48.2347,28.3905
49.6378,28.1938
49.306,33.596
51.8158,22.3776
43.946,21.1395
53.2588,13.744
61.8148,30.7408
59.4744,18.174
60.939,17.4537
64.0762,19.9827
59.4776,29.1452
63.6801,34.3442
55.3854,28.3061
51.3924,25.3065
55.2111,22.734
58.6676,29.6972
55.405,36.6163
53.0733,17.7971
54.7391,29.3326
50.3801,30.6265
55.1556,29.3527
50.2528,26.6664
57.1571,38.934
58.2939,18.3738
58.0242,39.2154
50.5481,17.9086
54.8392,20.1927
48.7907,25.8055
55.4389,23.7344
56.221,27.7952
56.3867,22.7384
41.2063,25.3786
47.439,16.0665
47.9302,26.8233
57.1565,28.4085
51.1655,31.1745
57.5696,29.6227
51.4824,31.3687
59.7014,27.6111
50.8232,36.3692
42.054,31.4648
53.3658,16.6507
47.818,24.8828
53.6011,35.3285
46.2053,27.1889
70.4832,27.6975
60.9365,19.7389
55.3647,31.0906
52.9236,28.7092
59.1377,24.4853
52.9273,32.8337
57.6898,28.6147
55.0429,29.3202
59.1416,28.8028
49.2536,35.1054
42.5105,13.8871
63.9855,25.2044
49.5241,24.2652
67.2345,36.0211
47.6472,33.415
54.8964,34.2638
46.7929,29.1322
45.3799,29.9022
63.6243,34.6698
62.8235,24.9932
53.7808,28.2116
47.4351,37.3417
62.9609,18.7625
63.2312,39.7363
52.259,44.2803
45.3369,37.3424
45.8547,38.3378
50.4556,16.8272
50.2404,41.7142
56.7208,37.6563
48.6761,26.1354
62.6859,47.3081
48.2978,29.9925
53.661,29.9014
61.2669,33.3274
53.6487,38.313
60.4196,21.7955
59.168,34.5515
55.2948,20.855
54.0942,38.8635
55.4096,31.7893
51.8148,34.8272
55.5845,38.8988
64.9346,18.0351
45.3978,33.6295
37.5508,40.0183
48.9829,42.5568
49.985,29.9039
55.7334,38.7083
61.9286,19.6295
56.4378,11.4
54.2077,34.983
35.2287,12.683
53.2229,31.2838
39.4049,25.9842
39.4368,31.4978
48.3802,18.8948
51.6116,33.3247
49.757,29.3925
48.7433,40.5507
56.7314,27.2358
56.5119,20.4404
56.341,43.4592
45.4359,39.0563
53.1752,27.8128
43.8495,26.2483
60.089,20.9882
43.2803,26.1166
51.1315,49.7659
43.7303,34.693
51.8011,29.3233
50.2838,28.231
47.0141,27.2557
51.2176,19.2507
54.2501,29.309
44.7073,25.4866
36.7657,25.5384
50.0574,25.0196
39.537,26.6625
73.9244,25.1559
47.3886,45.9857
48.5168,35.9234
60.0599,40.26
54.7472,29.6704
54.2938,23.7727
49.8779,20.9312
62.1361,17.7694
54.3241,19.4513
58.9424,36.952
55.0339,30.3066
53.3814,42.5841
52.6461,27.6114
69.1333,26.3094
48.9177,39.2417
43.2588,18.9611
52.9022,31.0912
53.4448,34.6136
59.8544,19.9092
40.8906,33.6659
51.0094,37.8697
51.5917,15.7019
61.8044,25.0613
59.7734,26.1759
62.8102,29.8544
59.6046,31.8465
45.52,42.8572
51.9209,25.9436
42.0124,17.8411
61.2688,24.8932
43.1555,24.7903
56.139,20.6626
53.4971,30.658
56.0291,30.4974
49.1383,20.3746
55.754,36.759
44.7922,34.5688
59.1921,25.9075
52.2479,36.063
64.8184,31.5242
47.76,25.4581
70.6802,26.9144
60.0676,36.8212
43.3892,36.3163
54.3312,24.0908
52.1364,23.3024
60.0148,13.9836
52.1437,42.621
49.8193,19.1668
44.9312,17.2028
48.1817,26.9327
56.2372,41.4257
61.2687,23.0413
43.5698,30.6842
48.2795,11.8753
48.1817,24.8732
55.0223,30.8443
47.4326,38.7838
43.9383,36.9756
53.9424,22.3495
59.9409,17.3072
47.8615,28.1682
57.943,29.865
57.0355,34.2708
62.7888,31.9499
52.5094,31.1517
55.2563,28.046
68.5396,35.3516
48.7773,36.8372
41.662,33.149
54.9743,20.474
58.8304,26.5924
56.2847,36.4148
44.7604,24.2821
51.1223,32.0739
56.0879,29.3235
48.1975,24.7938
71.035,31.8325
61.7642,15.4841
50.2903,35.3385
56.861,46.8054
61.1271,18.9376
47.8434,25.8772
39.6283,17.8878
57.6979,28.5772
51.0707,28.673
50.1508,26.8459
49.1778,23.9293
60.5401,28.2746
56.1312,29.5816
44.8085,28.0561
57.3722,34.1507
55.242,36.5428
59.7584,21.8651
52.5796,29.9261
70.9072,26.3964
49.3367,26.6152
51.4227,43.3557
67.2563,24.0706
51.4641,23.6976
60.524,30.0782
50.0675,36.6079
59.8613,24.7108
54.0753,17.3847
53.0608,38.3854
56.2535,24.155
59.3931,37.7197
53.1814,29.6894
49.361,31.3224
51.3768,31.5904
48.7029,22.263
66.1801,26.6827
47.2169,37.554
51.9228,24.559
45.8213,37.0701
58.5489,38.8472
50.3962,34.5209
55.4956,24.4784
