x,y
54.8379,18.179
53.9763,43.1724
43.6331,33.0762
51.4124,20.8619
47.749,25.4824
56.036,23.1624
52.0105,32.2626
53.7479,30.0582
56.8322,29.2298
43.8681,24.7864
50.4746,41.1051
48.8617,25.059
52.581,42.5501
52.0905,16.7456
50.6503,25.5422
64.1908,39.4311
50.3951,19.9409
54.4826,26.6761
62.5981,30.8854
56.5711,30.5153
61.2131,30.0287
41.1181,47.7183
54.3943,35.339
61.4319,30.7346
52.0822,29.447
64.7311,27.9638
47.3814,19.3533
38.5807,32.394
58.2241,34.6199
51.8887,28.1964
58.2928,22.1135
65.0191,14.3121
45.4201,29.9431
55.6945,29.0479
52.2094,27.6186
59.021,14.6535
42.5356,27.8997
53.98,35.9576
53.0989,21.8489
64.4499,30.2955
47.292,23.3284
56.6371,33.5752
66.1793,29.7142
50.0581,17.0745
69.6246,29.5801
52.4763,25.6236
54.2213,23.2134
70.3688,26.3581
56.6776,21.5584
54.2945,35.0485
52.7136,22.3269
48.4756,32.2218
44.367,46.2963
60.6039,30.6588
41.0861,40.6194
48.3866,30.21
57.2077,39.189
61.816,36.8829
55.4425,22.8495
60.459,25.6049
64.2289,30.0686
36.0562,19.0527
60.7608,25.639
64.8392,32.4121
56.0755,31.4932
53.2507,31.2337
57.5932,34.7707
52.9387,34.8024
59.6379,23.089
56.2564,32.7275
52.0329,29.5774
66.0805,34.4733
50.1604,28.7155
59.4223,40.2055
59.3411,32.7506
60.4766,34.8237
48.6185,22.5272
47.0926,16.2017
48.5049,21.0685
53.0213,30.1728
56.7941,24.2885
46.9163,18.6973
69.0232,26.1284
60.7461,30.4164
50.1617,26.223
56.1634,35.92
45.395,43.6923
42.2615,36.3501
45.4753,20.6952
63.4022,35.4694
44.8216,22.36
55.5742,28.0744
51.8877,31.8393
50.2666,31.8911
62.3848,27.9708
51.9032,31.1445
56.9403,33.7795
66.0957,34.6169
45.4886,26.2606
55.4322,26.5985
69.7507,34.7267
59.8851,39.0123
46.4006,32.146
52.799,36.3157
54.0486,27.3601
61.8917,30.0865
53.4986,23.9705
56.1127,36.366
65.4546,30.1366
54.2079,28.4671
52.5725,39.4361
67.354,19.6256
55.1935,29.1777
53.1129,29.4082
57.0101,29.4757
52.3874,35.6256
60.7398,14.627
50.9623,46.8433
63.9751,21.3084
62.8903,35.0543
59.0159,30.2994
54.3787,27.1823
72.0529,28.6364
61.6168,16.0925
49.0685,37.7975
50.3552,31.4173
54.7415,12.8379
56.9683,32.0775
62.6939,16.0935
