x,y
21.7498,20.4059
21.5656,18.6489
18.7835,21.0296
21.3363,21.2439
19.8096,17.1578
20.019,22.3228
22.8864,22.3828
21.6527,19.524
20.5751,20.9871
20.4582,19.181
17.5312,19.9892
19.0956,19.8394
21.6005,20.2657
22.8785,21.8776
21.2434,19.0794
20.1782,19.8444
22.527,19.1963
20.6735,19.8299
24.5679,19.3857
21.9106,18.3798
23.1236,20.2232
22.4022,19.4065
21.1723,21.6165
22.605,20.6839
20.6302,21.0883
21.5456,19.9559
22.9815,21.1269
20.3572,22.108
23.7021,20.2539
22.9676,23.1693
22.5667,20.0107
23.3574,17.513
22.0712,16.3468
25.7802,21.2545
22.7716,20.3926
21.4385,19.2197
20.3898,17.9848
19.959,18.901
20.991,21.2489
23.7416,21.1925
19.423,20.5438
23.3993,19.7729
20.0872,23.0425
21.5167,22.611
23.7245,16.7608
21.9345,20.4023
23.4258,20.8744
22.6663,20.9491
19.7133,21.4727
21.3285,21.8111
23.3741,19.4314
18.9003,17.8502
19.0876,19.4565
23.6244,21.0882
21.8118,20.3212
22.068,21.695
18.3254,17.1313
22.8235,18.8342
25.0729,19.101
22.0305,22.2859
22.4045,20.0819
21.5419,20.2111
22.3523,23.8746
21.7377,22.372
19.6235,23.4128
20.9738,18.6289
21.86,21.4511
21.3451,19.6905
20.9198,20.7398
19.269,20.1907
21.1009,19.8904
21.6104,20.6897
22.4692,24.3266
22.4451,19.7093
19.8065,20.7436
23.393,21.6454
22.4982,16.962
23.7879,20.0709
23.2411,20.1544
22.3363,19.2789
19.5068,18.6986
20.1248,19.5799
21.2408,19.3119
24.4349,21.1566
20.7851,19.2256
22.7929,19.9538
22.3597,21.7684
23.9125,23.1731
20.5283,21.1282
22.0923,19.4418
18.0793,21.8343
20.3114,19.5709
19.1718,21.566
22.5702,20.1771
20.906,21.4625
20.1369,21.1399
18.1278,21.3927
18.1011,22.3323
18.0415,19.4824
21.4797,20.2159
23.8901,22.2966
19.1394,21.1107
20.5853,22.9457
19.2889,19.8567
21.095,20.8879
20.998,19.1276
19.6797,19.442
24.1761,20.2478
22.0714,20.4144
20.6966,16.6767
22.374,20.3141
22.01,20.3
20.8591,21.5437
22.175,20.6864
20.676,22.3709
20.5605,19.966
23.5768,18.9704
18.1733,18.6187
21.0645,17.7629
20.657,21.9796
18.3778,18.7661
22.9664,19.3695
24.5734,21.2412
22.7954,20.6209
17.9334,21.928
21.3321,19.8007
