x,y
46.3117,15.4383
52.0314,43.2249
35.4228,34.7052
47.7836,27.7793
37.7334,24.0556
43.9555,21.6888
47.3119,25.2661
50.9994,25.8017
52.1753,28.3049
41.0113,20.1925
43.9586,40.0377
44.6311,24.0256
43.383,35.4356
43.3705,12.4119
44.7618,21.0099
61.0532,34.7676
47.2938,20.0824
51.1923,23.0729
59.1322,35.484
53.7382,34.0755
56.9873,32.4351
36.191,36.4119
47.0273,33.3929
50.8907,30.0063
47.7272,26.0028
56.0144,30.8499
44.4908,16.8595
31.8578,30.8691
56.652,34.5775
48.145,28.7654
50.4362,21.8447
56.848,18.1501
35.8144,29.0188
48.373,25.0718
45.3979,27.2415
57.2331,13.8585
37.8205,28.6723
45.5131,29.0081
45.7652,21.0193
59.9278,30.0628
41.9087,17.092
49.0543,33.2754
56.0749,32.7772
42.9899,15.4952
60.6424,25.8421
46.9601,24.221
45.6617,27.3441
59.1955,22.9904
51.0222,20.0174
46.4015,28.2488
46.8625,19.1535
47.2282,34.2107
34.6667,38.5365
51.0164,29.0845
32.8984,37.9841
39.3607,28.558
50.3958,34.876
52.3593,36.7625
49.3875,21.062
53.9518,22.2038
53.7794,26.1462
31.6585,18.0395
46.7518,24.5451
53.2557,24.7889
46.259,26.7412
47.0834,30.2213
50.5728,37.347
37.4932,35.3277
54.543,25.4716
51.5475,32.2424
47.2483,32.5759
56.4511,31.6026
41.7685,28.2846
46.5441,35.6732
52.0125,33.8648
48.5712,36.0723
44.5415,19.3258
43.4896,14.1631
42.177,18.4099
49.4683,31.6224
45.1086,24.4492
44.0845,19.9529
58.6025,27.5136
50.0886,25.3488
40.4933,27.5415
47.2534,34.6839
47.6305,39.789
35.5164,27.4837
32.7628,22.1112
56.1156,30.2219
35.7653,18.8759
52.6486,26.1175
49.4474,30.9757
44.718,30.2988
57.0838,27.8614
41.2107,27.7412
49.9977,37.0171
55.4149,33.3298
42.843,25.5922
48.1278,27.8104
57.7247,33.0513
52.4866,36.423
38.2523,30.9625
44.4379,33.8633
49.8473,27.7431
54.92,26.7722
47.2163,23.7877
52.0193,33.8305
63.3501,31.6256
50.3988,28.386
43.7702,33.041
56.031,20.8552
51.193,31.3287
48.5723,28.7368
49.7316,30.9286
47.2006,34.0814
49.8612,9.87403
46.4725,40.3923
60.2172,17.4165
54.8251,36.1422
50.6075,23.0243
48.074,24.4059
63.254,30.221
58.4787,19.777
43.5188,32.9844
47.6823,30.9555
52.2219,13.5465
47.9441,34.9648
50.301,13.2294
51.7713,28.4858
54.0578,37.1763
53.383,37.6866
56.2782,26.972
53.7035,35.1369
51.8961,27.6118
47.0134,23.1755
56.5683,26.6422
42.5294,39.7493
52.0601,35.2379
47.7611,29.5119
35.9659,27.3437
47.3713,33.863
59.024,34.6968
52.742,25.9843
47.6768,34.3817
42.7998,36.7685
54.6852,34.8584
40.9403,24.2256
49.5849,29.1573
41.168,21.8031
55.8932,21.4598
52.9708,22.8148
42.1463,34.2642
52.9131,21.9627
37.3225,31.6693
49.436,14.9129
43.5949,27.1248
43.3172,30.0425
44.6776,28.9114
59.0898,19.1615
49.1002,36.6802
44.319,25.8207
42.0219,25.2344
55.9531,25.8965
40.8268,24.1473
51.5734,30.4089
35.9455,32.6077
52.5425,30.4291
47.442,24.4998
52.9335,34.7751
57.3667,22.3619
43.8917,31.4712
49.8745,25.2136
54.0247,11.2503
40.8295,36.0562
50.7195,26.1785
50.0359,27.1235
43.1885,35.1648
52.8293,23.108
37.5122,17.0327
56.7138,42.9561
49.7818,32.9753
39.3969,25.5375
48.9492,22.2787
60.6531,27.1908
43.5616,33.7317
49.0664,23.9727
44.41,35.7208
59.2585,27.1554
43.778,31.632
47.529,16.1915
48.2428,22.2688
38.5688,33.3051
55.3558,26.3576
53.089,38.7019
68.9058,29.6009
50.0456,42.0847
51.9357,37.7155
39.2768,38.4162
45.4485,27.0041
44.5111,26.3598
49.9202,29.173
49.9926,23.9014
45.7065,22.5167
48.6365,14.0451
59.124,32.1923
58.4063,23.4299
56.1415,10.6572
54.2386,21.0878
56.1806,28.7443
61.4865,33.85
50.1073,28.6451
44.784,25.2031
49.9939,19.7622
55.213,26.8902
54.4075,29.3674
45.4176,19.2298
52.2393,27.919
41.8914,26.5372
54.2582,26.6147
46.6237,24.2931
54.1803,38.8377
53.9849,16.8223
48.2787,38.0343
48.1922,19.969
51.3949,20.9182
50.213,26.7622
51.9027,23.8257
50.4006,26.8643
53.6765,23.8803
36.8295,20.0639
43.1267,20.0086
42.3663,27.424
51.8038,25.415
45.5725,35.3338
53.8458,28.0703
46.1602,30.239
50.6644,23.0436
45.1617,30.7047
40.9304,32.3962
48.6909,11.355
40.9676,27.5756
45.6474,34.8274
38.2441,24.0897
62.6126,27.7888
54.9549,16.3471
47.675,29.5975
45.8733,26.9478
54.3379,29.4453
44.9787,33.2469
56.539,27.1369
49.1003,29.0356
54.2665,24.5266
40.1684,30.7804
41.0535,15.4002
59.9056,28.2673
47.0564,28.559
62.7136,30.4322
43.4464,33.6538
49.4554,29.0741
41.1441,26.8105
44.9572,25.561
55.2423,32.6413
58.2479,26.0662
49.0874,30.1846
43.9918,31.4521
56.3384,19.089
58.2622,39.4717
47.8894,41.4761
39.4549,35.2087
41.087,38.0412
47.0934,18.5335
49.3912,41.2942
54.4945,37.4741
45.5191,25.8196
59.6363,43.3858
45.5367,26.8495
49.197,30.8784
52.9034,33.4739
47.5486,38.0279
54.2318,22.4068
53.38,31.6195
53.5504,25.9632
50.0361,36.0422
48.754,32.1446
47.2376,30.2377
45.8768,35.6259
56.4176,16.1143
41.3765,32.7183
37.3138,36.0467
43.418,40.2976
48.0373,26.638
50.2033,39.8073
53.5107,18.288
51.7423,14.4333
47.2751,28.5778
34.1649,12.748
48.8351,31.683
36.834,22.8495
36.1398,27.4489
39.5194,23.7895
49.2579,33.0621
47.4842,29.6816
43.0258,33.9658
50.9952,25.5673
53.3271,22.5874
54.2897,41.2306
37.6776,39.1764
48.3096,30.1542
39.1859,24.2919
53.986,21.8666
36.1117,26.7154
48.0371,46.8156
38.9458,33.9275
47.0265,26.6715
50.302,29.0172
45.0096,28.4732
44.9309,21.3539
50.4013,25.6299
39.2494,24.1225
34.4245,21.5415
40.2001,25.7059
34.8306,23.2096
69.213,25.1941
40.7098,44.5477
45.0656,33.1106
60.1692,39.5748
49.6,32.3451
49.2642,18.4925
48.3383,23.1892
55.0874,16.8592
43.8004,19.0438
53.7982,36.2653
49.5516,25.3133
48.2894,43.5039
45.8431,27.7836
59.8966,23.8454
45.2056,37.1069
34.0165,18.1547
44.8933,30.1918
50.1009,31.6711
53.4013,19.6826
37.6222,31.8176
49.4871,36.8767
48.4232,18.565
57.4022,24.4787
51.4197,26.1603
55.7924,28.9434
57.6454,36.2333
40.8817,41.9664
48.8828,26.1494
33.4027,15.0759
52.9689,21.2171
38.823,24.6587
51.8046,22.1092
42.1748,29.049
48.7027,30.099
43.131,22.9461
50.2783,35.8043
43.9424,30.5577
52.616,25.1943
46.792,38.6929
57.7502,27.7199
43.9917,30.0095
67.223,31.3774
54.0476,31.3339
41.626,34.2007
46.1445,20.769
45.364,21.8331
54.3219,13.4019
50.5927,36.9706
47.0193,22.3953
41.4012,15.8919
41.5238,24.3339
52.5005,37.8871
53.9993,26.6213
38.068,28.2332
39.8149,11.2203
39.4092,26.9368
54.3801,30.7589
43.8374,39.8205
42.5029,39.8752
50.8712,23.818
54.7982,19.0651
43.742,29.2071
54.4253,28.6156
52.2811,32.8631
60.5967,29.9206
45.1691,31.2258
52.7472,26.8404
58.1485,32.0749
43.9407,35.5054
37.9024,30.7357
50.5765,17.0667
50.8017,25.747
53.4423,37.4096
44.5713,18.4125
42.4474,33.3228
49.2034,26.6603
40.0922,25.3119
63.4763,32.7846
52.7919,17.4065
45.0975,34.5327
47.5144,42.6127
55.413,23.1612
44.2744,24.2976
39.7775,20.833
57.1698,20.8787
49.8045,20.9215
47.2463,19.8466
45.0459,18.8987
55.2315,24.7882
50.9389,30.1793
48.0105,24.6836
57.7821,33.0872
45.1612,39.2856
55.807,23.4722
45.8673,30.4239
62.4802,26.857
44.8004,29.7339
44.8775,39.4001
63.3926,23.1337
47.6716,19.2694
52.1732,28.4431
46.0989,34.1694
51.4114,24.3098
48.1184,17.8951
48.305,34.8134
52.8866,26.2739
55.2541,36.3303
48.5964,26.8725
43.2399,26.7003
49.3273,29.3078
42.2596,21.37
56.6263,25.6189
40.7554,36.8508
48.7332,21.4347
38.2621,31.099
51.076,36.9785
42.0131,33.1282
52.2941,24.5967
48.7241,35.1435
55.9817,40.7122
46.1806,21.6963
44.6147,20.057
52.1867,23.1161
48.8082,22.7326
45.7581,33.2657
52.7774,23.6094
40.1444,21.0824
51.4677,18.6584
42.8709,39.9394
49.4299,30.4944
43.96,35.2211
52.31,20.4287
62.6735,23.0013
42.336,26.3538
41.5406,34.4037
68.8513,20.405
37.6889,24.5986
45.4626,28.4855
45.1972,11.6902
52.0723,25.3877
45.2906,31.4722
43.9815,22.1981
55.1407,29.0253
43.0491,26.7553
51.3437,23.5569
53.2283,26.9247
57.8608,27.1054
47.0559,31.213
45.096,32.1159
50.2785,24.551
51.0859,25.4976
48.9767,33.1332
54.9193,24.375
46.5342,24.4864
40.9823,30.7839
49.7147,14.6874
44.162,27.0222
33.4794,40.9756
40.1425,33.2465
50.133,16.4199
52.2506,30.6425
47.1273,30.3725
52.5142,21.4926
47.4803,23.0457
53.1916,32.0719
50.168,17.4896
48.4809,29.0244
47.5938,26.9493
47.3744,28.3578
58.6539,19.4111
51.2866,19.6027
41.7453,20.9168
54.1929,18.3299
50.2963,35.8041
39.1187,28.7608
37.7897,14.0711
40.1688,33.878
58.0243,21.84
44.5138,25.4938
45.5407,16.1915
37.0014,35.6917
47.7838,25.8474
48.8034,33.7805
50.715,26.3595
66.8382,18.3783
53.094,28.2106
57.5068,29.4396
39.3387,21.6101
41.9106,25.2342
43.2519,41.7618
47.862,20.8922
41.626,24.5621
49.3977,26.6918
41.8562,38.9207
44.3581,27.838
53.3901,18.4578
48.7221,26.1388
54.101,35.9314
61.8212,29.3275
47.2525,32.5122
42.8418,15.335
42.2013,27.7715
41.0916,36.4829
50.0148,40.3635
52.4955,24.4233
47.3915,31.0212
50.2544,24.7959
52.6165,30.6092
48.4598,36.0229
55.8034,17.4468
49.3252,26.635
44.1267,35.2063
54.059,34.4329
52.678,17.7799
34.2832,28.5439
50.584,21.1516
43.8416,37.1608
44.45,32.9985
43.3923,16.4797
57.8028,16.4229
39.8569,25.114
54.297,24.2146
58.4362,28.1134
39.2956,32.1835
42.2119,32.1933
47.8273,8.71207
56.1767,20.5854
49.3447,18.9585
45.4287,41.401
36.178,21.3003
47.6204,20.1491
40.9048,31.0919
56.6401,31.7227
43.5751,31.4777
55.791,35.9445
48.9484,28.3253
43.7041,25.9182
30.2231,27.8441
38.0171,24.4962
51.9998,33.8806
43.0378,17.4067
41.1203,33.2153
51.7981,13.8641
68.8527,8.5697
41.3797,19.7276
44.5923,29.0328
53.1287,13.923
53.948,28.8369
45.4568,28.0888
45.7766,24.6935
50.8208,27.8946
52.9089,22.9618
49.174,31.0865
56.914,25.7032
42.8672,26.8304
46.6522,33.8836
51.1168,20.2536
50.5488,39.6555
46.6745,24.5712
47.0717,38.9467
50.1304,28.9878
52.5844,33.7319
39.5842,24.6777
45.6273,35.6022
41.6239,26.1216
49.8546,31.1535
41.5012,14.748
49.1906,26.7628
34.1616,34.3407
32.8364,19.8861
50.7532,29.7564
57.7428,23.801
42.1657,23.7322
61.5038,32.0911
48.3867,36.5054
51.5414,25.9177
49.3883,17.8759
58.0373,35.3408
45.3117,17.5172
39.7588,28.287
50.6733,23.4083
37.8529,39.2622
50.2454,18.162
38.6428,18.9804
50.5479,31.3041
67.0577,30.8541
39.2335,31.684
59.7981,39.5545
44.0451,28.917
46.6041,26.499
47.2493,23.4827
43.6015,25.4678
48.3367,20.827
51.504,26.7772
57.3151,30.6294
49.6294,21.3807
45.9184,30.0736
45.7074,39.2763
45.5969,25.4997
56.368,26.4629
47.051,20.8761
42.7493,30.4455
38.8548,20.7708
45.2767,32.0041
39.9898,36.7814
53.9101,27.1804
39.0009,37.447
49.5744,22.7531
54.4036,16.2353
40.0846,39.9135
34.393,22.6088
42.6225,21.7749
48.991,33.7258
50.341,25.1217
52.5793,36.2526
38.1796,15.4126
48.503,26.4706
41.9611,22.4696
44.8774,46.7541
43.9043,28.1062
47.0601,32.1531
32.889,20.7483
48.7803,39.3667
57.052,12.8087
49.1497,29.3542
51.0871,27.6907
49.745,20.9935
39.5112,28.8715
39.7386,28.3198
59.512,25.6911
41.735,25.538
51.8478,24.4453
58.1586,22.7779
42.2741,36.0608
51.7694,36.0004
37.9507,24.4957
50.8886,24.5557
58.4789,27.3554
52.3203,25.6884
48.042,36.5539
59.3396,26.6445
38.6114,19.636
54.9452,28.388
49.8478,36.7703
52.9064,26.1295
47.8484,25.8033
52.1402,33.5642
53.1753,24.0783
49.2447,23.0803
52.741,43.4523
53.4315,26.1405
39.6505,33.0659
40.6054,36.9577
54.4317,26.8673
38.5272,28.9622
44.0793,32.529
34.2236,34.2153
48.3487,30.121
52.0926,44.2782
69.9291,30.9178
59.1047,20.912
