x,y
74.9199,17.2352
76.7794,54.3558
60.0626,38.5397
65.0154,23.8271
67.9834,31.628
76.2321,32.4574
67.5147,25.3234
70.4226,33.1884
81.0689,37.6116
61.4385,28.7654
67.102,43.4195
68.4563,40.6675
73.4582,37.3516
75.9637,26.5627
67.7887,39.9957
85.1851,46.3688
72.9313,17.6289
69.7018,32.3672
83.0419,32.72
66.0344,39.3851
76.9843,37.5931
58.8611,51.5301
78.4131,37.3222
80.0315,39.82
65.4582,34.2063
77.8581,26.445
68.3023,23.2085
52.3789,38.7044
65.7948,27.6102
64.9848,31.0286
73.8848,33.9218
80.6116,32.6267
57.6805,39.5284
82.1365,29.9249
71.5296,40.6907
75.8388,19.6586
64.3159,41.5312
68.3601,39.9406
67.004,26.8053
81.2162,31.2201
63.1868,32.6478
72.135,40.254
77.3893,37.9646
62.1386,27.7003
90.402,31.292
69.3509,21.8998
67.9652,25.39
84.3463,25.0737
69.5025,22.0107
71.5393,33.4342
67.9292,26.9299
64.8212,42.6254
69.8571,41.4666
77.7347,35.2335
53.398,46.7892
71.3617,35.7781
73.2341,46.199
77.8319,39.336
72.7857,17.5923
73.0842,34.9843
77.9366,30.3723
50.2569,25.9801
83.8886,37.1917
79.2466,38.5306
78.5072,36.6207
68.0775,38.6788
85.8856,44.5564
75.1978,44.1131
74.7874,33.1633
66.4955,31.9383
70.1297,37.7868
83.4496,45.5626
59.0091,31.7557
79.3343,52.5114
81.2019,42.9623
73.884,43.2183
63.5712,29.2754
60.1483,14.7243
70.7957,26.0021
68.306,33.7894
69.1823,26.9984
58.6396,35.8907
95.5681,33.157
85.8734,38.7039
66.6396,29.5371
69.6729,37.3657
59.6886,49.9682
55.7038,37.4016
66.2698,27.9546
82.0241,36.0377
68.4943,29.0656
60.6437,31.7905
70.6997,34.8319
68.1418,29.0109
78.7782,28.4347
63.8301,32.7159
73.6603,41.8932
92.8481,41.5565
62.0398,33.1002
69.6739,35.9618
81.8714,43.1678
76.2434,42.7099
62.9475,39.4177
65.6964,45.3719
63.1629,32.0652
75.3401,31.3308
66.8753,19.0934
64.0592,38.2158
86.0499,28.8891
63.5173,29.7243
68.0254,49.7089
87.3662,26.9429
67.8901,29.2836
71.8164,34.2914
77.0425,38.1224
66.0971,43.9121
69.2935,12.6825
61.7218,56.693
85.3079,16.9988
80.7098,42.03
83.9767,33.5327
74.6934,31.7426
94.9075,39.1425
83.8522,21.68
66.724,38.3706
73.0151,35.4936
71.3745,9.77936
78.0275,42.812
84.7493,12.954
64.1711,29.9235
88.2065,40.0419
87.3909,42.1473
79.2592,34.6264
80.6545,37.2647
69.6872,24.0118
68.3345,41.6512
87.6718,38.0257
71.9412,34.662
74.2384,47.109
74.3503,35.7806
63.7754,26.2524
78.0094,30.3985
77.7464,43.8944
76.4368,30.0723
70.8976,39.9913
65.2236,45.2683
68.3293,37.7528
76.0982,30.8833
70.0336,32.2815
58.4925,30.4986
73.2372,20.4915
77.6232,31.854
54.7151,51.3129
82.516,19.5403
66.9861,44.1131
70.4815,23.1229
62.2406,27.881
66.903,35.2863
72.8684,29.4084
84.3524,31.2577
73.1057,57.7798
63.8733,41.0128
71.39,36.4059
79.7999,28.2497
66.1849,29.3285
88.6004,31.9231
65.3117,39.8135
72.8806,36.2685
62.5929,29.4962
63.0958,50.9067
79.398,22.6516
90.7441,41.2369
64.2403,33.2605
75.6142,12.2734
76.912,45.2392
83.7257,40.2238
82.3004,26.6558
69.5254,37.5921
64.5776,33.7962
48.9099,17.6402
74.0427,53.1614
82.6013,34.8347
63.8858,37.3884
65.6685,27.0574
85.4023,27.6989
74.4258,31.0885
66.0794,46.2108
56.4605,39.695
86.5096,29.9262
65.2294,32.2357
62.2251,15.7247
69.7783,22.9515
71.4883,41.7199
80.1652,36.2744
70.6986,51.4001
91.0298,41.1609
72.9577,42.2519
74.759,55.9874
61.8835,42.6894
68.5748,28.622
68.241,43.2711
64.4225,42.8061
62.5482,27.8243
59.6885,22.3864
69.7382,7.75173
76.3403,39.2953
84.6408,15.1825
87.2931,18.4055
75.8294,21.9092
79.537,42.4719
76.839,37.0466
70.6219,25.1642
68.6293,21.5945
81.4992,24.3781
82.0228,31.3671
75.7348,45.3377
82.1045,15.376
73.0155,39.2174
77.3436,37.3216
83.56,37.0707
70.1072,36.6899
66.6751,43.4603
77.1645,16.2225
74.7218,43.073
71.0191,14.8892
83.6678,20.595
71.4578,30.6851
73.9878,31.3491
80.7644,32.4181
73.0934,29.9281
53.6703,25.6741
65.2181,27.1814
55.7248,30.6123
67.664,33.3878
77.0214,37.0041
70.88,26.202
72.6954,39.887
78.2192,35.4171
76.4999,45.0068
58.8329,41.8299
71.2351,22.8876
68.3385,36.066
69.1347,44.4349
67.2128,29.1101
91.9671,41.3093
79.0516,36.495
76.0805,37.452
71.18,40.9318
88.1735,29.4072
75.7313,41.2996
76.9657,39.4101
76.8433,36.6731
78.9494,29.0912
68.7446,35.8691
62.1494,31.1359
87.5608,15.862
71.466,18.9801
82.7955,38.3964
63.3399,22.8988
69.1655,32.7618
68.8062,36.215
65.8875,27.4555
83.2988,35.5955
89.2773,28.1187
72.3693,37.7148
67.9228,37.0632
85.7596,11.5745
77.9747,42.1726
69.3634,40.988
67.8495,36.9979
60.749,40.204
67.456,18.68
62.4123,44.7011
80.7468,49.4635
60.5514,26.2083
83.9046,56.8651
68.2089,36.0841
75.1293,34.8306
79.7173,43.6536
67.114,37.5971
73.5567,15.5837
69.5406,35.8003
74.3699,26.1555
71.0474,43.194
80.2776,42.2062
73.768,37.6245
73.0595,46.6426
90.0559,19.3341
69.5112,35.7935
53.5525,42.8653
75.9175,42.9498
68.1771,31.9386
66.4597,46.5486
74.3495,17.7948
76.1351,22.5861
69.4499,41.3857
60.8831,2.003
78.0347,44.2128
61.0944,38.9841
59.3285,33.986
62.6162,27.5422
66.4072,34.9547
62.1037,31.2872
66.8835,43.3895
81.2999,37.92
77.2165,25.8727
74.6564,57.3544
66.9838,38.281
67.0142,42.3458
60.9421,24.889
79.9709,30.0338
52.6825,35.6103
70.2581,56.9868
64.9177,43.8563
63.4657,32.8818
70.3938,31.3445
56.4891,23.6735
69.8247,14.2933
74.1112,34.7075
63.405,36.2636
62.635,40.2798
60.3183,41.2476
63.3322,23.3286
86.6696,30.3489
